Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,AIS Rank,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,PERGAMON-ELSEVIER SCIENCE LTD,1520-6688,1879-2375,ECONOMICS,SSCI,24017,6.8,Q1,1.69,37.21%,22/617,7.8,Q1,6.1,1.1,50/617,Q1,91.98,0.01799,4.0048,1.615,96.5,Q1,89/575,310,99.35%,6.3,6.3,308
JOURNAL OF BANKING & FINANCE,J BANK FINANC,ELSEVIER,0378-4266,1872-6372,ECONOMICS,SSCI,23919,3.8,Q1,1.15,23.40%,80/617,4.8,Q1,3.7,0.7,108/617,Q1,82.58,0.01259,2.80128,1.462,87.1,Q1,97/575,178,99.44%,11.1,11.9,177
REVIEW OF ECONOMICS AND STATISTICS,REV ECON STAT,MIT PRESS,2193-7532,1530-9142,ECONOMICS,SSCI,21497,6.8,Q1,2.43,7.10%,22/617,7.8,Q1,6.7,3.4,15/617,Q1,97.65,0.02345,5.21877,7.79,96.5,Q1,16/575,113,100.00%,16.1,11.2,113
REVIEW OF ECONOMIC STUDIES,REV ECON STUD,OXFORD UNIV PRESS,1477-7525,1467-937X,ECONOMICS,SSCI,20521,6.4,Q1,1.93,22.47%,27/617,8.2,Q1,6.3,3.6,30/617,Q1,95.22,0.04918,10.94308,12.276,95.7,Q1,8/575,114,100.00%,18.3,10.2,114
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,PERGAMON-ELSEVIER SCIENCE LTD,2214-594X,1878-5794,ECONOMICS,SSCI,20266,8.8,Q1,2.03,13.49%,12/617,9.8,Q1,7.3,1.6,26/617,Q1,95.87,0.02029,4.51467,1.986,98.1,Q1,70/575,415,98.80%,4.5,5.2,410
JOURNAL OF ECONOMIC PERSPECTIVES,J ECON PERSPECT,AMER ECONOMIC ASSOC,2624-893X,1944-7965,ECONOMICS,SSCI,20002,8.8,Q1,2.47,68.00%,12/617,14.4,Q1,8.7,1.2,14/617,Q1,97.81,0.01854,4.12657,11.176,98.1,Q1,10/575,44,100.00%,16.4,6.2,44
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,PERGAMON-ELSEVIER SCIENCE LTD,0191-2615,1879-2367,ECONOMICS,SSCI,19133,6.3,Q1,1.43,22.41%,30/617,8.1,Q1,5.7,0.9,74/617,Q1,88.09,0.0134,2.98248,2.295,95.2,Q1,51/575,150,100.00%,8.3,8.6,150
Journal of Transport Geography,J TRANSP GEOGR,ELSEVIER SCI LTD,0966-6923,1873-1236,ECONOMICS,SSCI,16756,6.3,Q1,1.88,33.28%,30/617,7.1,Q1,5.7,0.9,33/617,Q1,94.73,0.01245,2.77052,1.448,95.2,Q1,98/575,244,97.54%,6.4,6.6,238
JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,ELSEVIER,0165-4101,1879-1980,ECONOMICS,SSCI,16521,6.8,Q1,1.85,15.75%,22/617,9.3,Q1,6.5,2.4,34/617,Q1,94.57,0.01071,2.38491,6.165,96.5,Q1,19/575,52,98.08%,14.9,11.5,51
JOURNAL OF PUBLIC ECONOMICS,J PUBLIC ECON,ELSEVIER SCIENCE SA,0047-2727,0047-2727,ECONOMICS,SSCI,16489,3.4,Q1,1.4,36.53%,97/617,5.9,Q1,3.2,0.5,78/617,Q1,87.44,0.02292,5.10043,4.21,84.4,Q1,29/575,151,100.00%,13.3,8.5,151
ECONOMIC JOURNAL,ECON J,OXFORD UNIV PRESS,2035-5556,1468-0297,ECONOMICS,SSCI,16013,3.6,Q1,1.12,31.45%,88/617,4.5,Q1,3.5,0.8,111/617,Q1,82.09,0.01716,3.81929,3.865,85.8,Q1,31/575,131,100.00%,16.3,10,131
ECONOMIC MODELLING,ECON MODEL,ELSEVIER,1478-4491,1873-6122,ECONOMICS,SSCI,15660,4.7,Q1,1.54,21.62%,55/617,4.8,Q1,4.2,0.9,62/617,Q1,90.03,0.01201,2.67297,0.897,91.2,Q2,164/575,252,100.00%,5.4,8.5,252
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON,ELSEVIER,2413-8851,1872-6089,ECONOMICS,SSCI,15605,4.6,Q1,1.49,32.72%,58/617,6.4,Q1,4.3,0.8,68/617,Q1,89.06,0.01626,3.61792,3.118,90.7,Q1,39/575,141,100.00%,10.6,8.9,141
VALUE IN HEALTH,VALUE HEALTH,ELSEVIER SCIENCE INC,1098-3015,1524-4733,ECONOMICS,SSCI,14950,6,Q1,1.5,40.34%,37/617,5.7,Q1,5.5,1.4,66/617,Q1,89.38,0.01598,3.55667,2.116,94.1,Q1,63/575,179,87.71%,7.7,7.7,157
SMALL BUSINESS ECONOMICS,SMALL BUS ECON,SPRINGER,0921-898X,1573-0913,ECONOMICS,SSCI,14548,4.8,Q1,1.37,58.42%,52/617,7.9,Q1,4.4,1.1,81/617,Q1,86.95,0.01194,2.65832,1.802,91.7,Q1,78/575,127,100.00%,6.6,10.4,127
ECONOMICS LETTERS,ECON LETT,ELSEVIER SCIENCE SA,0165-1765,1873-7374,ECONOMICS,SSCI,14401,1.8,Q2,0.62,24.32%,234/617,1.8,Q2,1.7,0.3,245/617,Q2,60.37,0.00999,2.2244,0.618,62.2,Q2,233/575,517,100.00%,10.6,8.4,517
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,J ECON BEHAV ORGAN,ELSEVIER,0167-2681,1879-1751,ECONOMICS,SSCI,13912,2.3,Q2,0.75,35.30%,175/617,2.6,Q2,2.2,0.4,196/617,Q2,68.31,0.02051,4.56555,1.272,71.7,Q1,109/575,381,100.00%,8.4,10.1,381
Transport Policy,TRANSPORT POLICY,ELSEVIER SCI LTD,2056-6085,1879-310X,ECONOMICS,SSCI,13783,5.3,Q1,1.71,28.59%,47/617,6.2,Q1,4.8,1.1,48/617,Q1,92.3,0.01138,2.53368,1.236,92.5,Q1,113/575,290,97.59%,5.5,6,283
APPLIED ECONOMICS,APPL ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2673-2726,1466-4283,ECONOMICS,SSCI,13675,2.1,Q2,0.63,10.41%,202/617,2.2,Q2,1.8,0.5,243/617,Q2,60.7,0.00877,1.95188,0.425,67.3,Q3,305/575,682,100.00%,6.8,7.4,682
JOURNAL OF ECONOMIC LITERATURE,J ECON LIT,AMER ECONOMIC ASSOC,0022-0515,2328-8175,ECONOMICS,SSCI,12794,10.6,Q1,3.52,0.00%,8/617,15.9,Q1,10.5,3.1,4/617,Q1,99.43,0.01322,2.94184,12.675,98.8,Q1,7/575,32,87.50%,15.1,12.2,28
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,J ENVIRON ECON MANAG,ACADEMIC PRESS INC ELSEVIER SCIENCE,1179-1594,1096-0449,ECONOMICS,SSCI,12038,5.9,Q1,1.46,40.00%,40/617,7.5,Q1,5.6,1.1,72/617,Q1,88.41,0.00991,2.2061,2.681,93.6,Q1,47/575,136,99.26%,8.5,8.3,135
REGIONAL STUDIES,REG STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2624-9634,1360-0591,ECONOMICS,SSCI,11305,4.2,Q1,1.12,40.79%,68/617,5.1,Q1,3.6,0.9,111/617,Q1,82.09,0.0092,2.04706,1.343,89.1,Q1,105/575,106,100.00%,7.7,7.6,106
JOURNAL OF INTERNATIONAL ECONOMICS,J INT ECON,ELSEVIER,2322-5939,1873-0353,ECONOMICS,SSCI,11240,4,Q1,1.18,24.52%,73/617,5.2,Q1,3.7,0.6,104/617,Q1,83.23,0.01095,2.43717,3.053,88.2,Q1,41/575,125,100.00%,11.6,9.7,125
JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,ELSEVIER,0304-3932,1873-1295,ECONOMICS,SSCI,11043,4.1,Q1,1.25,25.97%,72/617,5.1,Q1,3.9,1.2,96/617,Q1,84.52,0.01857,4.13186,5.305,88.4,Q1,25/575,83,100.00%,15.9,7.3,83
International Review of Economics & Finance,INT REV ECON FINANC,ELSEVIER,2300-1682,1873-8036,ECONOMICS,SSCI,10982,5.6,Q1,1.72,14.04%,42/617,5.5,Q1,5.1,1.4,45/617,Q1,92.79,0.00956,2.12749,0.881,93.3,Q2,169/575,744,99.60%,3.3,7,741
FOOD POLICY,FOOD POLICY,ELSEVIER SCI LTD,2297-900X,1873-5657,ECONOMICS,SSCI,10970,6,Q1,1.89,46.11%,37/617,7,Q1,5.6,0.9,31/617,Q1,95.06,0.00792,1.76234,1.63,94.1,Q1,87/575,126,99.21%,7.5,6.5,125
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,J FINANC QUANT ANAL,CAMBRIDGE UNIV PRESS,2561-326X,1756-6916,ECONOMICS,SSCI,10492,2.8,Q1,0.94,25.90%,136/617,4.4,Q1,2.8,1.6,144/617,Q1,76.74,0.01313,2.92203,2.841,78,Q1,44/575,47,100.00%,10.9,12.2,47
EUROPEAN ECONOMIC REVIEW,EUR ECON REV,ELSEVIER,2666-7193,1873-572X,ECONOMICS,SSCI,10299,2.4,Q2,0.79,46.49%,160/617,3.2,Q1,2.2,0.6,183/617,Q2,70.42,0.01334,2.97036,1.844,74.1,Q1,77/575,170,100.00%,10.5,9.4,170
INTERNATIONAL JOURNAL OF FORECASTING,INT J FORECASTING,ELSEVIER,0169-2070,1872-8200,ECONOMICS,SSCI,9948,7.1,Q1,2.16,35.02%,17/617,7.5,Q1,6.7,1.6,20/617,Q1,96.84,0.00898,1.99934,2.067,97.3,Q1,65/575,97,98.97%,8.3,9.8,96
CHINA ECONOMIC REVIEW,CHINA ECON REV,ELSEVIER SCIENCE INC,1043-951X,1873-7781,ECONOMICS,SSCI,9158,5.5,Q1,1.75,5.59%,43/617,6.7,Q1,5.2,1,39/617,Q1,93.76,0.00779,1.73454,1.424,93.1,Q1,100/575,173,98.84%,5.7,8.3,171
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,TAYLOR & FRANCIS INC,0735-0015,1537-2707,ECONOMICS,SSCI,9056,2.5,Q1,0.76,25.10%,153/617,5.1,Q1,2.4,0.6,192/617,Q2,68.96,0.01699,3.78223,4.234,75.3,Q1,28/575,84,100.00%,12.9,11.2,84
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,AM J AGR ECON,WILEY,0002-9092,1467-8276,ECONOMICS,SSCI,8859,3.3,Q1,1.48,53.33%,104/617,4.7,Q1,3.1,0.8,70/617,Q1,88.74,0.00522,1.16355,1.518,83.2,Q1,95/575,49,100.00%,13.7,8.6,49
Economic Analysis and Policy,ECON ANAL POLICY,ELSEVIER,0313-5926,0313-5926,ECONOMICS,SSCI,8852,8.7,Q1,2.97,13.33%,14/617,7.6,Q1,8,1.9,7/617,Q1,98.95,0.00923,2.05543,1.198,97.8,Q1,122/575,370,99.46%,2.3,5,368
JOURNAL OF HEALTH ECONOMICS,J HEALTH ECON,ELSEVIER,2393-6401,1879-1646,ECONOMICS,SSCI,8558,3.6,Q1,1.27,38.06%,88/617,4.1,Q1,3.4,0.6,91/617,Q1,85.33,0.00798,1.77626,2.211,85.8,Q1,57/575,68,100.00%,11.4,8.2,68
JOURNAL OF APPLIED ECONOMETRICS,J APPL ECONOMET,WILEY,2351-9894,1099-1255,ECONOMICS,SSCI,7995,3.1,Q1,0.82,38.17%,117/617,2.9,Q2,2.9,0.6,165/617,Q2,73.34,0.00537,1.19644,2.12,81.1,Q1,62/575,73,100.00%,17.4,10,73
JOURNAL OF ECONOMIC THEORY,J ECON THEORY,ACADEMIC PRESS INC ELSEVIER SCIENCE,2666-6065,1095-7235,ECONOMICS,SSCI,7947,1.2,Q3,0.41,25.65%,349/617,1.6,Q3,1.2,0.2,343/617,Q3,44.49,0.01123,2.49871,2.163,43.5,Q1,61/575,111,100.00%,20.7,15,111
HEALTH ECONOMICS,HEALTH ECON,WILEY,1057-9230,1099-1050,ECONOMICS,SSCI,7354,2.4,Q2,0.78,43.48%,160/617,2.5,Q2,2.3,0.3,187/617,Q2,69.77,0.0069,1.53627,1.163,74.1,Q1,126/575,120,100.00%,10,8.5,120
PHARMACOECONOMICS,PHARMACOECONOMICS,ADIS INT LTD,1170-7690,1179-2027,ECONOMICS,SSCI,7336,4.6,Q1,1.32,67.01%,58/617,5.1,Q1,4,0.6,88/617,Q1,85.82,0.00752,1.67401,1.852,90.7,Q1,76/575,103,80.58%,8.1,6.2,83
JOURNAL OF URBAN ECONOMICS,J URBAN ECON,ACADEMIC PRESS INC ELSEVIER SCIENCE,2664-3731,1095-9068,ECONOMICS,SSCI,7274,4.8,Q1,1.79,30.06%,52/617,6.5,Q1,4.6,1.2,36/617,Q1,94.25,0.00656,1.46052,3.296,91.7,Q1,36/575,65,100.00%,13.8,9.1,65
Forest Policy and Economics,FOREST POLICY ECON,ELSEVIER,1178-203X,1872-7050,ECONOMICS,SSCI,7125,3.8,Q1,1.17,38.85%,80/617,4,Q1,2.9,0.9,105/617,Q1,83.06,0.00499,1.11111,0.721,87.1,Q2,200/575,167,96.41%,5.8,7.8,161
American Economic Journal-Applied Economics,AM ECON J-APPL ECON,AMER ECONOMIC ASSOC,1424-2818,1945-7790,ECONOMICS,SSCI,6816,6.2,Q1,1.94,0.00%,34/617,8.5,Q1,6.1,1.9,29/617,Q1,95.38,0.01779,3.95921,9.422,94.6,Q1,14/575,64,100.00%,8.8,9.6,64
Futures,FUTURES,ELSEVIER SCI LTD,1179-1594,1873-6378,ECONOMICS,SSCI,6568,3.8,Q1,0.83,58.85%,80/617,3.9,Q1,3.1,0.8,164/617,Q2,73.5,0.00444,0.98975,0.923,87.1,Q2,157/575,144,97.92%,8.4,7.2,141
Journal of the European Economic Association,J EUR ECON ASSOC,OXFORD UNIV PRESS,1542-4766,1542-4774,ECONOMICS,SSCI,6568,3.3,Q1,1.15,28.64%,104/617,4.6,Q1,3.3,0.7,108/617,Q1,82.58,0.01758,3.91326,5.766,83.2,Q1,21/575,57,100.00%,11.2,11.2,57
JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,UNIV WISCONSIN PRESS,2662-2211,1548-8004,ECONOMICS,SSCI,6561,6,Q1,2.4,26.24%,37/617,5.8,Q1,5.9,2.2,16/617,Q1,97.49,0.01025,2.28279,5.278,94.1,Q1,26/575,70,100.00%,13,10.8,70
ENVIRONMENTAL & RESOURCE ECONOMICS,ENVIRON RESOUR ECON,SPRINGER,2322-5939,1573-1502,ECONOMICS,SSCI,6498,3.4,Q1,0.9,51.04%,97/617,3.9,Q1,3.3,0.6,155/617,Q2,74.96,0.00493,1.09728,1.087,84.4,Q1,137/575,104,100.00%,8.8,8.4,104
SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECON PLAN SCI,ELSEVIER SCIENCE INC,0038-0121,1873-6041,ECONOMICS,SSCI,6421,5.4,Q1,1.69,25.65%,45/617,5.3,Q1,4.8,1,50/617,Q1,91.98,0.0064,1.42611,0.901,92.8,Q2,161/575,287,97.56%,2.9,6.5,280
APPLIED ECONOMICS LETTERS,APPL ECON LETT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2148-9386,1466-4291,ECONOMICS,SSCI,6139,1.3,Q3,0.37,6.87%,332/617,1.3,Q3,1.1,0.4,373/617,Q3,39.63,0.00507,1.13018,0.279,46.3,Q3,394/575,587,100.00%,5.2,5.7,587
JOURNAL OF LABOR ECONOMICS,J LABOR ECON,UNIV CHICAGO PRESS,2052-3211,1537-5307,ECONOMICS,SSCI,6076,5,Q1,1.5,2.46%,50/617,5,Q1,4.9,2.1,66/617,Q1,89.38,0.00946,2.10574,5.649,92,Q1,22/575,45,100.00%,13.3,11.2,45
JOURNAL OF ECONOMIC SURVEYS,J ECON SURV,WILEY,0950-0804,1467-6419,ECONOMICS,SSCI,5920,5,Q1,1.66,50.00%,50/617,7.1,Q1,4.8,0.8,54/617,Q1,91.33,0.00548,1.22137,2.255,92,Q1,55/575,79,94.94%,8.3,8.5,75
EMERGING MARKETS FINANCE AND TRADE,EMERG MARK FINANC TR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2632-3249,1558-0938,ECONOMICS,SSCI,5871,3.1,Q1,1.09,4.52%,117/617,3.2,Q1,2.9,0.4,117/617,Q1,81.12,0.00518,1.15397,0.507,81.1,Q2,279/575,206,99.03%,4.3,6.8,204
JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,WILEY,2624-9553,1538-4616,ECONOMICS,SSCI,5856,1.6,Q2,0.41,29.50%,276/617,2.1,Q2,1.5,0.4,343/617,Q3,44.49,0.00595,1.32538,1.577,55.3,Q1,92/575,95,100.00%,14.9,11.1,95
JOURNAL OF DEVELOPMENT STUDIES,J DEV STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0022-0388,1743-9140,ECONOMICS,SSCI,5852,1.8,Q2,0.55,37.99%,234/617,2.8,Q2,1.7,0.3,272/617,Q2,56,0.00437,0.97388,0.892,62.2,Q2,166/575,104,99.04%,9.8,8.9,103
Journal of International Financial Markets Institutions & Money,J INT FINANC MARK I,ELSEVIER,2673-253X,1873-0612,ECONOMICS,SSCI,5789,6.1,Q1,1.7,28.81%,36/617,5.6,Q1,5.7,2.1,49/617,Q1,92.14,0.00449,0.99927,0.952,94.2,Q2,154/575,134,99.25%,3.9,8.2,133
JOURNAL OF ECONOMIC PSYCHOLOGY,J ECON PSYCHOL,ELSEVIER,0167-4870,1872-7719,ECONOMICS,SSCI,5733,2.3,Q2,0.87,41.28%,175/617,3,Q2,1.7,0.6,159/617,Q2,74.31,0.00333,0.74109,1.243,71.7,Q1,112/575,49,100.00%,12.7,10.5,49
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,J ECON DYN CONTROL,ELSEVIER,0165-1889,1879-1743,ECONOMICS,SSCI,5658,2.3,Q2,0.66,26.54%,175/617,2.1,Q2,2.2,0.4,231/617,Q2,62.64,0.00609,1.35617,1.153,71.7,Q1,128/575,113,100.00%,11.6,10.9,113
American Economic Journal-Economic Policy,AM ECON J-ECON POLIC,AMER ECONOMIC ASSOC,2214-7829,1945-774X,ECONOMICS,SSCI,5588,5.3,Q1,1.75,0.00%,47/617,7.6,Q1,5.3,1.1,39/617,Q1,93.76,0.01655,3.68238,7.247,92.5,Q1,17/575,64,100.00%,7.3,9.4,64
RAND JOURNAL OF ECONOMICS,RAND J ECON,WILEY,0741-6261,1756-2171,ECONOMICS,SSCI,5381,2.8,Q1,0.88,51.28%,136/617,3,Q2,2.7,0.4,158/617,Q2,74.47,0.0047,1.04669,3.565,78,Q1,35/575,28,100.00%,20.9,14.3,28
Empirical Economics,EMPIR ECON,PHYSICA-VERLAG GMBH & CO,2227-9091,1435-8921,ECONOMICS,SSCI,5377,1.9,Q2,0.65,35.67%,225/617,2.6,Q2,1.8,0.4,236/617,Q2,61.83,0.00518,1.15464,0.578,63.6,Q2,245/575,160,100.00%,5,11.1,160
AGRICULTURAL ECONOMICS,AGR ECON-BLACKWELL,WILEY,2214-7160,1574-0862,ECONOMICS,SSCI,5306,4,Q1,1.05,51.57%,73/617,4.5,Q1,3.9,0.9,121/617,Q1,80.47,0.00244,0.54512,0.981,88.2,Q2,151/575,55,98.18%,9.9,9.4,54
GAMES AND ECONOMIC BEHAVIOR,GAME ECON BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,0899-8256,1090-2473,ECONOMICS,SSCI,5296,1,Q3,0.33,32.96%,391/617,1.2,Q3,0.9,0.2,405/617,Q3,34.44,0.0074,1.64656,1.223,36.7,Q1,117/575,142,100.00%,14.8,14.4,142
Structural Change and Economic Dynamics,STRUCT CHANGE ECON D,ELSEVIER,0954-349X,1873-6017,ECONOMICS,SSCI,5278,5.5,Q1,1.78,23.00%,43/617,5.4,Q1,5.1,1.1,37/617,Q1,94.08,0.00571,1.27195,1.025,93.1,Q1,143/575,176,99.43%,3.7,7.7,175
INTERNATIONAL ECONOMIC REVIEW,INT ECON REV,WILEY,0020-6598,1468-2354,ECONOMICS,SSCI,5241,1.3,Q3,0.39,35.63%,332/617,1.9,Q2,1.3,0.4,360/617,Q3,41.73,0.0057,1.26885,2.298,46.3,Q1,50/575,61,100.00%,21,11.2,61
ECONOMICS OF EDUCATION REVIEW,ECON EDUC REV,PERGAMON-ELSEVIER SCIENCE LTD,2767-3812,1873-7382,ECONOMICS,SSCI,5080,1.8,Q2,0.8,36.92%,234/617,2.5,Q2,1.7,0.4,175/617,Q2,71.72,0.00456,1.01601,1.307,62.2,Q1,107/575,66,96.97%,11.3,9.8,64
PUBLIC CHOICE,PUBLIC CHOICE,SPRINGER,0048-5829,1573-7101,ECONOMICS,SSCI,4988,2.2,Q2,0.92,31.50%,189/617,2,Q2,1.7,0.4,149/617,Q1,75.93,0.00301,0.67123,0.823,69.4,Q2,181/575,96,100.00%,15.1,12.6,96
ECONOMIC GEOGRAPHY,ECON GEOGR,TAYLOR & FRANCIS LTD,1477-8947,1944-8287,ECONOMICS,SSCI,4944,8.9,Q1,2.07,58.49%,11/617,8.4,Q1,8.8,0.9,24/617,Q1,96.19,0.00223,0.49721,2.668,98.3,Q1,48/575,10,100.00%,11.6,6.9,10
WORLD ECONOMY,WORLD ECON,WILEY,2767-3170,1467-9701,ECONOMICS,SSCI,4848,2.4,Q2,0.8,32.20%,160/617,2.6,Q2,2.3,0.4,175/617,Q2,71.72,0.00388,0.86525,0.639,74.1,Q2,225/575,101,96.04%,7.4,9.8,97
JOURNAL OF LAW & ECONOMICS,J LAW ECON,UNIV CHICAGO PRESS,2773-1391,1537-5285,ECONOMICS,SSCI,4829,1.5,Q2,1.27,0.00%,293/617,2.5,Q2,1.5,0.2,91/617,Q1,85.33,0.00275,0.61351,2.281,52.6,Q1,52/575,27,100.00%,31,12.9,27
WORK EMPLOYMENT AND SOCIETY,WORK EMPLOY SOC,SAGE PUBLICATIONS LTD,2624-893X,1469-8722,ECONOMICS,SSCI,4823,3.8,Q1,1.22,53.67%,80/617,5.1,Q1,3.5,0.7,99/617,Q1,84.04,0.00596,1.32721,1.873,87.1,Q1,75/575,48,100.00%,7.1,9.5,48
JCMS-Journal of Common Market Studies,JCMS-J COMMON MARK S,WILEY,0021-9886,1468-5965,ECONOMICS,SSCI,4815,3.3,Q1,1.42,72.59%,104/617,3.1,Q1,2.9,1.7,76/617,Q1,87.76,0.00538,1.19705,1.194,83.2,Q1,123/575,121,89.26%,7.4,6,108
REGIONAL SCIENCE AND URBAN ECONOMICS,REG SCI URBAN ECON,ELSEVIER,2413-8851,1879-2308,ECONOMICS,SSCI,4813,2.9,Q1,0.96,22.44%,129/617,3.7,Q1,2.7,0.7,138/617,Q1,77.71,0.00407,0.90576,1.427,79.2,Q1,99/575,60,100.00%,10.2,9.8,60
JOURNAL OF ECONOMIC GEOGRAPHY,J ECON GEOGR,OXFORD UNIV PRESS,1468-2702,1468-2710,ECONOMICS,SSCI,4794,2.9,Q1,1.05,45.97%,129/617,4.5,Q1,2.6,0.6,121/617,Q1,80.47,0.00355,0.79127,1.891,79.2,Q1,73/575,49,100.00%,10.5,9.6,49
